work_id,summary,Mode of Demise,Murder,Victim,Perpetrator
﻿56580688,,,,,
﻿56580688,,symbolic,,inner child,self
56757454,,failure,,Eurydice,Orpheus
56757454,,tearing to pieces,,Orpheus,Maenads
57356344,,struck by discus,,Hyacinthus,Apollo
57183703,,Trapped in Underworld,,Orpheus,Shadows
57165361,,indirectly by choice,,crew members,Zeus
57165361,,unspecified but implied,,crew members,Zeus
57137989,,divine fire,,Semele,Zeus
57121198,,beheaded,,Medusa,Perseus
56575177,,stabbing,,Agamemnon,Klytemnestra
56574667,,,,,
56417806,,,,,
56347633,,killing,,wife and six children,king
17464,,killed,,Patroclus,Hector
17464,,slain by Achilles,,Hector,Achilles
17701,,,,Patroclus,
41491,,fatal blow,,Penthesilea,Achilles
78338,,,,uncles,Meleager
78338,,,,Meleager,Althea
109012,,killed in battle,,Hector,unspecified
125672,,,,Agamemnon,
125672,,blunt force trauma,,Cassandra,Clytaemnestra
49859260,,sacrifice,,Iphigenia,priests/arrangers
49859260,,revenge manipulation,,father (Agamemnon),Atropos
40607286,,suicide,,Ajax,Ajax
40214382,,killed,,their son,his own father
40140507,,discus strike,,Hyacinthus,Apollo
39722094,,illness and aging,,Leuce,
38886291,,,,Achilles,
38886291,,not specified,,Patroclus,none
56246299,,unknown,,Antigone,unknown
49531849,,,,,
49531849,,,,,
48848398,,jumping,,Riliane,
48848398,,,,queen,
47791900,,arrows striking them down,,suitors,Odysseus
47791900,,fatal injury from sword,,Eurynomus,Odysseus
47136421,,downfall,,Troy,unspecified
47136421,,killed,,Cassandra,Clytemnestra
45899866,,,,,
45282052,,excessive pleasure and pain,,princess,witch
45282052,,during ordeal,,father,
30281253,,pickaxe,,Dixon Worth,Corrie Worth
24847147,,transformation into tree,,Myrrha,Aphrodite
24847147,,gored by wild boar,,Adonis,
37903318,,,,,
31797934,,torn apart limb by limb,,Pentheus,Maenads
31797934,,bones scattered by wolves,,Pentheus,wolves
32232568,,stabbing,,Cassandra,Cassandra
32232568,,stabbing,,Calchas,Cassandra
25972498,,war,,husband,
25972498,,,,Patroclus,
25972498,,vengeance and grief,,Achilles,
24350869,,,,,
24160720,,war,,sons,
24160720,,assault,,daughter,Ajax
24160720,,rage,,Cassandra,Apollo
17006691,,sacrifice,,Troilus,Achilles
1087311,,petrification,,men,Medusa
1087311,,beheading,,Medusa,Perseus
734141,,sword strike,,Agamemnon,Clytaemnestra
734141,,stabbing,,Agamemnon,narrator
660704,,shooting,,Kallisto,Artemis
591456,,flood,,citizens,Poseidon
591456,,destruction,,citizens,Medusa
57811963,,,,,
47882395,,,,,
43712916,,,,,
46030015,,hanged,,servant,
46030015,,dead,,suitors,
56755555,,,,,
56676244,,,,,
56631334,,none,,none,none
54516907,,killed with sword,,soldier,Gorgon
54516907,,,,,
39728892,,severe injuries and bleeding,,narrator,
51106009,,turned to stone,,aging man,Medusa
52941766,,destruction,,initial flawed human races,Zeus
52941766,,flood,,humanity,Zeus
48677368,,,,,
44140441,,fatal injury,,Hyacinthus,Zephyrus
38722188,,,,,
38985855,,,,,
38717322,,transformation into tree,,Daphne,Apollo
38717322,,accidental death,,Hyacinthus,Apollo
25480942,,hunting,,rabbit,narrator
