work_id,summary,Mode of Demise,Murder,Victim,Perpetrator
﻿56580688,,symbolic death,,inner child,self-neglect
56757454,,tearing to pieces,,Orpheus,Maenads
57356344,,struck by discus,,Hyacinthus,Zephyrus
57183703,,murdered,,woman,protagonist's father
57183703,,sacrifice,,protagonist,Hades
57165361,,condemned by Zeus,,crew,Zeus
57165361,,killed,,Hector's son,unknown
57137989,,lightning strike,,Semele,Zeus
57121198,,beheaded with Athena's shield,,Medusa,Perseus
56575177,,stabbing,,King Agamemnon,Klytemnestra
56574667,,not explicitly detailed,,Semele,Hera's actions
56417806,,,,,
56347633,,killed,,Queen Aemma,Melinoe
56347633,,killed,,grandfather,Melinoe
56347633,,killed,,guard dog,Melinoe
17464,,killed,,Patroclus,Hector
17464,,slain in battle,,Hector,Achilles
17701,,spear wounds,,Patroclus,
17701,,combat,,Amazon Queen,Achilles
41491,,sliced through the heart,,Penthesilea,Achilles
41491,,arrow to the heel,,Achilles,fate
78338,,diskette,,Meleager,Althea Calydon
78338,,suicide,,Althea,herself
78338,,phaser,,Plexippus and Toxeus,Meleager
109012,,killed,,Hector,Achilles
109012,,,,,
125672,,,,Agamemnon,
125672,,beaten to death,,Cassandra,Clytaemnestra
49859260,,sacrifice,,Iphigenia,
49859260,,axe,,Agamemnon,Aegisthus and Clytemnestra
40607286,,suicide,,Ajax,Ajax
40214382,,killed by Paris' actions,,Corynthus,Paris
40140507,,struck by discus,,Hyacinthus,Apollo
39722094,,old age and illness,,Leuce,
38886291,,killing,,Hector,Achilles
38886291,,killing,,Troilus,Achilles
38886291,,killed,,Pyrrhus,Orestes
38886291,,died,,Achilles,
38886291,,died,,Patroclus,
56246299,,killed by uncle,,Antigone,uncle
49531849,,slain,,Priam,Agamemnon's forces
49531849,,slain,,Hector,Agamemnon's forces
49531849,,slain,,Deiphobus,Agamemnon's forces
49531849,,slain,,Paris,Agamemnon's forces
49531849,,slain,,Antiphus,Agamemnon's forces
49531849,,slain,,Pammon,Agamemnon's forces
49531849,,slain,,Hipponous,Agamemnon's forces
49531849,,slain,,Polydorus,Agamemnon's forces
49531849,,slain,,Troilus,Agamemnon's forces
49531849,,slain,,Creusa,Agamemnon's forces
49531849,,slain,,Polyxena,Agamemnon's forces
49531849,,slain,,Coroebus,Agamemnon's forces
48848398,,not specified,,mother,not specified
48848398,,jumping,,Riliane,herself
47791900,,arrow through neck,,Antinous,Odysseus
47791900,,shot in chest,,another suitor,Odysseus
47791900,,beheaded by sword,,Eurynomus,Odysseus
47136421,,dragged by chariot,,Hector,Achilles
47136421,,brains dashed on walls,,Astyanax,unknown
47136421,,body washes ashore,,Polydorus,unknown
47136421,,killed in the same manner as his grandson,,King Priam,unknown
47136421,,raped and slain,,Cassandra,Clytemnestra
47136421,,dies before being taken as plunder,,Polyxena,unknown
45282052,,overwhelming sensations,,Princess,"Princess, witch"
45282052,,heart stops,,King,"Princess, witch"
30281253,,pickaxe,,Dixon,Corrie
24847147,,transformation into tree,,Myrrha,Aphrodite
24847147,,gored by boar,,Adonis,
37903318,,viper treachery,,nymph,Orpheus
37903318,,underworld passage,,Eurydice,
31797934,,torn apart,,Pentheus,Maenads
32232568,,stabbing with dagger,,Cassandra,Cassandra
32232568,,stabbing with dagger,,Calchas,Cassandra
25972498,,battle,,Patroclus,unknown
25972498,,combat,,Achilles,unknown
24350869,,violent death,,Patroclus,unknown
24160720,,devastating consequences,,Cassandra,
24160720,,rape and murder,,her daughter,Ajax the Lesser
24160720,,loss,,her unborn child,
24160720,,death,,her son,
17006691,,slit throat with sword,,Troilus,Achilles
1087311,,beheaded,,Medusa,Perseus
734141,,stabbed in stomach,,Agamemnon,Clytaemnestra
734141,,stabbed higher up,,Agamemnon,narrator
734141,,slit throat,,Agamemnon,Clytaemnestra
660704,,Shot in the head,,Kallisto,Artemis
591456,,drowning,,"families, grandmothers, newborns",Poseidon
591456,,drowning and destruction,,countless people,Poseidon
591456,,beheaded with mirrored shield,,Medusa,Perseus
57811963,,,,Kuina,
50519623,,assaulted,,Cassandra,Ajax
50126794,,,,,
47882395,,,,,
46030015,,hanged,,servant,
46030015,,killed,,suitors,Odysseus
46030015,,,,Astyanax,
46030015,,died in war,,Ajax,
46030015,,died in war,,Achilles,
46030015,,died in war,,Agamemnon,
46030015,,,,Odysseus's mother,
46030015,,,,Eurylochus,
56755555,,,,,
56676244,,,,,
56631334,,unspecified,,crops,Kore
56631334,,unspecified,,livestock,Kore
56631334,,unspecified,,people,Kore
54516907,,lethal counterattack,,soldier,Gorgon
39728892,,stabbing,,narrator,soldiers
39728892,,slicing,,soldier 1,Novellus
39728892,,decapitation,,soldier 2,Novellus
39728892,,stabbing,,soldier 3,Novellus
51106009,,petrification,,old man,Med
52941766,,Liver devoured daily by eagle,,Prometheus,Zeus
52941766,,Drowning in flood,,Humanity,Zeus
48677368,,implied,,Achilles,Peleus
48677368,,violent end,,narrator,Nero
44140441,,discus strike,,Hyacinthus,Zephyrus
39958143,,,,,
38722188,,consumed by flames,,parents,
38722188,,feasting,,Beast,Amber
38722188,,,,"doctor, twins, taxidermist, camgirl",
38985855,,,,,
38717322,,transformation into laurel tree,,Daphne,Peneus
38717322,,,,Hyacinthus,
25480942,,,,,
