work_id,summary,Mode of Demise,Murder,Victim,Perpetrator
﻿56580688,,bleeding from wound,,inner child,entity
56757454,,vanishing into shade,,Eurydice,
56757454,,tearing to pieces,,Orpheus,Maenads
57356344,,struck by discus,,Hyacinthus,Zephyrus
57183703,,giving up soul,,Narrator,Hades
57165361,,,,,
57121198,,beheaded,,Medusa,Perseus
56575177,,stabbing,,Agamemnon,Klytemnestra
56575177,,stabbing,,Kassandra,Klytemnestra
56574667,,,,,
56417806,,,,,
56347633,,,,,
56347633,,,,,
17464,,struck down,,Hector,Achilles
17464,,killed,,Patroclus,Hector
41491,,sliced through heart with blade,,Amazon queen,him
41491,,arrow to heel,,Achilles,fate/stars
78338,,program completion,,Meleager,Althea
78338,,tearing to pieces,,unnamed redshirts,BOAR virus
78338,,vaporized,,Plexippus and Toxeus,Meleager
78338,,suicide,,Althea,Althea
109012,,killed in battle,,Hector,Achilles
125672,,bleeding,,Agamemnon,Clytaemnestra
125672,,violence,,Cassandra,Clytaemnestra
49859260,,blade to throat,,Iphigenia,Agamemnon
49859260,,sacrifice,,Electra,Agamemnon
49859260,,axe,,Agamemnon,Aegisthus
40607286,,suicide,,Ajax,
40607286,,slaughter,,cattle and lambs,Ajax
40214382,,killed by own father,,Oenone's son,Paris
40214382,,dying from wounds,,Paris,war/death
40140507,,struck by discus,,Hyacinthus,Apollo
39722094,,natural causes,,Leuce,
38886291,,,,Pyrrhus,
38886291,,,,Achilles,
38886291,,,,Patroclus,
56246299,,strangulation,,Antigone,unknown
49531849,,,,Priam,
49531849,,,,"Hector, Deiphobus, Paris, Antiphus, Pammon, Hipponous, Polydorus, and Troilus",
49531849,,,,Creusa and Polyxena,
49531849,,,,Coroebus,
48848398,,unspecified,,Queen,
48848398,,suicide,,Riliane,
47791900,,arrow to neck,,Antinous,Odysseus
47791900,,arrow to chest,,unnamed suitor,Odysseus
47791900,,sword,,Eurynomus,Odysseus
47136421,,brains dashed out,,Astyanax,Greek warrior
47136421,,dragged by chariot,,Hector,Achilles
47136421,,body washed ashore,,Polydorus,Greek warrior
47136421,,blood seeping into dirt,,Polyxena,Greek soldier
47136421,,sword,,Cassandra,Clytemnestra
47136421,,swords,,Agamemnon,Clytemnestra
45899866,,eternal oblivion,,Dromaeus,
45282052,,overwhelmed by pleasure and pain,,princess,witch
45282052,,heart stopped beating,,father,princess
30281253,,homicide,,Dixon Worth,Corrie Worth
30281253,,hanging,,miners,Sheriff J.H. Blair
37903318,,viper attack,,Orpheus,friend
37903318,,murder,,nymph,Hermes
37903318,,turned to stone and beheaded,,sister,unknown
31797934,,tearing to pieces,,Pentheus,Maenads
31797934,,torn apart,,Pentheus,Dionysus and Maenads
31797934,,split into smaller parts,,Pentheus,Maenads
32232568,,stabbing,,Cassandra,Calchas
32232568,,stabbing,,Calchas,Cassandra
25972498,,in battle,,Patroclus,
25972498,,battle-related death,,Achilles,
24350869,,abdominal wound,,Patroclus,unknown
24160720,,battle-related,,Cassandra's son,
24160720,,miscarriage,,Cassandra's unborn child,Ajax the Lesser
24160720,,,,Cassandra's daughter,
24160720,,,,Cassandra,King Agamemnon
24160720,,apocalypse,,everyone,Apollo
24160720,,,,Apollo,
17006691,,sword,,Troilus,Achilles
1087311,,beheading,,Medusa,Perseus
660704,,gunshot,,Kallisto,Artemis
660704,,gunshot,,Kallisto,Artemis
591456,,drowning/floodwaters,,people,sea (Poseidon)
591456,,petrification,,heroes,Medusa
57811963,,,,,
50519623,,Battle,,Fallen men,Greeks
50519623,,Burning,,Troy's inhabitants,Greeks
50519623,,Rape and violence,,Cassandra,Ajax
50126794,,,,,
47882395,,,,,
43712916,,,,,
46030015,,,,servant,
46030015,,,,suitors,Odysseus
46030015,,,,Astyanax,
46030015,,,,warriors,
46030015,,,,Ajax,
46030015,,,,Achilles,
46030015,,,,Agamemnon,
46030015,,,,mother,
46030015,,,,Eurylochus,
56755555,,,,,
56755555,,,,,
56676244,,,,,
56631334,,divine retribution,,Kore,Zeus
54516907,,struck from behind,,soldier,gorgon
54516907,,decapitation by sword,,gorgon,Perball
39728892,,natural causes,,narrator (Nove),none
52941766,,drowning,,humans,Zeus
48677368,,tearing flesh,,,I
48677368,,murder,,speaker,son
44140441,,bone shattered by unnatural wind,,Hyacinthus,Zephyrus
39958143,,,,,
38985855,,,,,
38985855,,,,,
38717322,,poison,,Hyacinthus,Apollo
38717322,,transformation,,Daphne,Apollo
25480942,,,,,
47019253,,torn by eagle,,Prometheus,
