work_id,summary,Mode of Demise,Murder,Victim,Perpetrator
﻿56580688,,drowning,,woman,entity
﻿56580688,,neglect,,inner child,woman
56757454,,natural causes or unknown,,Eurydice,
56757454,,tearing to pieces,,Orpheus,Maenads
57356344,,Discus hit,,Hyacinthus,Apollo/Zephyrus
57183703,,natural causes (implied),,Eurydice,
57183703,,sacrifice/trade,,Orpheus,Hades
57165361,,,,,
57137989,,Divine power,,Semele,Zeus
57121198,,beheaded,,Medusa,Perseus
56575177,,sacrifice,,Iphigenia,Agamemnon
56575177,,stabbing,,Agamemnon,Klytemnestra
56574667,,Divine Form,,Semele,Zeus
56417806,,,,,
56347633,,,,Queen Aemma and six children,Melinoe
17464,,,,Hector,Achilles
17701,,battle,,Patroclus,
41491,,slicing through her heart,,Penthesilea,Achilles
78338,,,,Plexippus and Toxeus,Meleager
78338,,,,Meleager,Althea
109012,,,,Hector,
125672,,physical assault,,Cassandra,Clytaemnestra
49859260,,sacrifice,,Iphigenia,Agamemnon
49859260,,murder,,Agamemnon,Aegisthus and Clytemnestra
40607286,,own hand,,Ajax,Ajax
40214382,,,,son,father
40140507,,struck by discus,,Hyacinthus,Apollo
39722094,,natural causes,,Leuce,
38886291,,unspecified,,Achilles,
56246299,,unknown,,Antigone,none
49531849,,None,,None,None
48848398,,jumping,,Riliane,Riliane
48848398,,,,mother,
47791900,,arrow shot,,Eurynomus,Odysseus
47791900,,stabbing with sword,,Eurynomus,Odysseus
47136421,,,,Cassandra's family members,
47136421,,rape and killing,,Cassandra,Agamemnon and Clytemnestra
45899866,,eternal sleep,,Prometheus,-
45282052,,heart stopped beating,,princess's father,
45282052,,overwhelmed by sensations,,princess,
30281253,,pickaxe,,Dixon,Corrie
24847147,,hunting accident,,Adonis,
37903318,,murder,,nymph,Orpheus
31797934,,brutal assault and tearing limb from limb,,Pentheus,Maenads
32232568,,killed with dual-bladed dagger and self-inflicted wound,,"Cassandra, Calchas",Cassandra
25972498,,,,Briseis' husband,Achilles
25972498,,,,Patroclus,
25972498,,,,Achilles,
24350869,,,,,
24160720,,brutal end,,Cassandra,King Agamemnon
24160720,,,,Apollo,
24160720,,,,Cassandra's sons,
17006691,,killing,,Troilus,Achilles
1087311,,turning to stone,,men,Medusa
1087311,,beheading,,Medusa,Perseus
734141,,stabbing,,Iphigenia,Agamemnon
734141,,stabbing,,Agamemnon,Clytaemnestra and narrator
660704,,shooting,,Kallisto,Artemis
591456,,drowning,,citizens,Poseidon
591456,,beheading,,Medusa,Perseus
57811963,,,,,
50519623,,rape and killing,,Cassandra,Ajax
50126794,,,,,
47882395,,,,,
43712916,,,,,
46030015,,unspecified,,Eurylochus,Odysseus
46030015,,unspecified,,mother,unspecified
46030015,,war,,friends and comrades,
56676244,,natural,,narrator,-
56631334,,deterioration,,Kore,
54516907,,killing with ease,,Perball's soldiers,Gorgon
54516907,,beheading,,piglet in disguise,Perball
39728892,,sword,,narrator,soldier
51106009,,natural causes,,Medusa's human partner,none
52941766,,died after 100 years,,first batch of humans,-
52941766,,-,,Prometheus,Zeus
48677368,,,,,
44140441,,brutal murder,,Hyacinthus,Zephyrus
39958143,,,,,
38722188,,inferno,,family and cabin occupants,
38722188,,devouring,,humans (general),Beast of the Smaragdos Wilds
38722188,,,,,
38722188,,worm consumption,,five bodies,worms
38717322,,Transformation,,Daphne,None
25480942,,flaying,,rabbit,
47019253,,,,,
