work_id,summary,Mode of Demise,Murder,Victim,Perpetrator
﻿56580688,,drowning,,inner child,entity
﻿56580688,,bear attack,,inner child,entity
56757454,,unknown,,Eurydice,
56757454,,tearing to pieces,,Orpheus,Maenads
57356344,,blunt force trauma,,Hyacinthus,Zephyrus
57183703,,not specified,,Eurydice,Apollo's son
57183703,,,,,
57165361,,,,Odysseus,Zeus
57165361,,,,Hector's son,
57165361,,,,Odysseus' men,
57137989,,divine fire,,Semele,Zeus
57121198,,beheaded,,Medusa,Perseus
56575177,,stabbing,,Agamemnon,Klytemnestra
56575177,,stabbing,,Kassandra,Klytemnestra
56574667,,,,,
56417806,,,,,
56347633,,,,Aemma,Melinoe
56347633,,,,grandfather,Melinoe
56347633,,,,guard dog,Melinoe
17464,,,,Hector,Achilles
17464,,,,Patroclus,Paris
17701,,spears thrust,,Patroclus,
17701,,,,Amazon Queen,Achilles
17701,,,,Achilles,
41491,,blade strike,,Penthesilea,Achilles
41491,,arrow wound,,Achilles,
78338,,virus,,Anceus,BOAR
78338,,,,unnamed redshirts,BOAR
78338,,,,Plexippus,Meleager Calydon
78338,,,,Toxeus,Meleager Calydon
78338,,diskette,,Meleager Calydon,Althea
109012,,killed,,Hector,Achilles
125672,,Slamming against wall,,Cassandra,Clytaemnestra
125672,,,,Agamemnon,"Clytaemnestra, Aegisthus"
49859260,,by blade,,Iphigenia,Agamemnon
49859260,,not specified,,Agamemnon,Aegisthus
40607286,,by his own hand,,Ajax,Ajax
40607286,,killed,,cattle and lambs,Ajax
40214382,,arrow,,Corynthus,Paris
40214382,,Thanatos,,Paris,
40140507,,blunt force trauma,,Hyacinth,Apollo
39722094,,natural causes,,Leuce,-
38886291,,killing,,Hector,Achilles
38886291,,killing,,Troilus,Achilles
56246299,,murder,,Antigone,king
49531849,,,,Priam,
49531849,,,,Hector,
49531849,,,,Deiphobus,
49531849,,,,Paris,
49531849,,,,Antiphus,
49531849,,,,Pammon,
49531849,,,,Hipponous,
49531849,,,,Polydorus,
49531849,,,,Troilus,
49531849,,,,Creusa,
49531849,,,,Polyxena,
49531849,,,,Coroebus,
48848398,,,,Riliane's mother,
48848398,,Suicide,,Riliane,Riliane
47791900,,arrow to neck,,Antinous,Odysseus
47791900,,arrow to chest,,unnamed suitor,Odysseus
47791900,,"arrow to hand, fatal sword blow",,Eurynomus,Odysseus
47136421,,dragged by chariot,,Hector,Achilles
47136421,,body washing up on shore,,Polydorus,
47136421,,killed as sacrifice,,Polyxena,
47136421,,,,King Priam,
47136421,,murdered,,Agamemnon,Clytemnestra
47136421,,,,Iphigenia,Agamemnon
47136421,,killed with sword,,Cassandra,Clytemnestra
45899866,,,,,
45282052,,exhaustion/cardiac arrest,,princess,unknown individuals/witch
45282052,,exhaustion/cardiac arrest,,king,unknown individuals/witch
30281253,,murdered,,Dixon,Corrie
24847147,,hunting accident,,Adonis,wild pig
37903318,,violent taking advantage,,Eurydice,Orpheus
37903318,,,,"the narrator's lover, the nymph",viper/Orpheus
31797934,,tearing apart limb from limb,,Pentheus,Maenads
32232568,,stabbing,,Calchas,Cassandra
32232568,,stabbing,,Cassandra (as Iphigenia),Cassandra
25972498,,,,Patroclus,
25972498,,,,Achilles,
24350869,,unknown,,Patroclus,unknown
24160720,,,,Cassandra's son,
24160720,,,,Cassandra's daughter,
24160720,,,,Cassandra,
17006691,,slitting throat with sword,,Troilus,Achilles
1087311,,turned to stone,,men,Medusa
1087311,,beheaded,,Medusa,Perseus
734141,,stabbing and throat slitting,,Agamemnon,Clytaemnestra
734141,,stabbing,,Agamemnon,narrator
660704,,gunshot,,Kallisto,Artemis
591456,,drowning,,inhabitants,Poseidon
591456,,beheading,,Medusa,Perseus
57811963,,,,,
50519623,,rape and violence,,Cassandra,Ajax
50126794,,,,Asterion,
50126794,,,,previous victims,Asterion
47882395,,,,children,Medea
43712916,,,,,
46030015,,,,Astyanax,
46030015,,,,Eurylochus,
46030015,,,,Astyanax,
46030015,,,,Eurylochus,
46030015,,,,suitors,
56676244,,,,,
56631334,,unspecified force,,Kore,Zeus
56631334,,destruction/trail of bodies,,mortals,Kore
54516907,,beheading,,gorgon,Perball
54516907,,N/A,,Pegasus,N/A
39728892,,stabbing,,narrator,soldier
39728892,,beheading,,soldiers (2),Novellus
39728892,,stabbing,,soldier,Novellus
51106009,,petrification,,old man,Medusa
52941766,,eaten daily,,Prometheus,Zeus
52941766,,flood,,humanity,Zeus
48677368,,Murder,,Narrator,Nero
44140441,,shattering bones and spilling life-force,,Hyacinthus,Zephyrus
39958143,,,,,
38722188,,,,narrator's parents,
38722188,,,,"doctor, twins, taxidermist, camgirl",
38985855,,,,,
38717322,,Transformation,,Daphne,Apollo
38717322,,Striking and wind gusts,,Hyacinthus,Apollo/Zephyr
25480942,,,,,
47019253,,,,,
