work_id,summary,Mode of Demise,Murder,Victim,Perpetrator
﻿56580688,,attack by bear,,narrator (child),bear
﻿56580688,,drowning and attack by entity,,"narrator (adult, inner child)",entity
56757454,,falling,,Eurydice,-
56757454,,tearing to pieces,,Orpheus,Maenads
57356344,,discus injury,,Hyacinthus,Apollo
57183703,,unknown,,Eurydice,none mentioned
57183703,,sacrificed soul,,Orpheus,Orpheus himself
57165361,, Choice,,,
57137989,,divine lightning,,Semele,Zeus
57121198,,drowning,,multiple men,Sea
57121198,,beheading,,Medusa,Perceus
56575177,,stabbing,,Agamemnon,Klytemnestra
56574667,,,,,
56417806,,,,,
56347633,,,,,
17464,,struck down,,Hector,Achilles
17701,,spears thrust,,Patroclus,
17701,,,,Amazon Queen,Achilles
41491,,stabbing,,Penthesilea,Achilles
41491,,,,,
78338,,tearing to pieces,,Unnamed Redshirts,BOAR virus
78338,,virtual arrow charged with energy from the firewall,,"None, BOAR virus was disabled",Atalanta Windows-Microsoft
78338,,vaporized,,Plexippus and Toxeus,Meleager Calydon
78338,,download completion,,Meleager Calydon,Althea
109012,,killing,,Hector,Achilles
125672,,blood pouring from wounds,,Agamemnon,
125672,,violent attack,,Cassandra,Clytaemnestra
49859260,,Throat cut,,Iphigenia,Agamemnon
49859260,,,,,
49859260,,,,Electra,
49859260,,,,,
49859260,,,,Orestes,
49859260,,,,,
49859260,,Axe to the head,,Agamemnon,Aegisthus
40607286,,by his own hand,,Ajax,N/A
40214382,,killed by father,,son of Oenone and Paris,Paris
40140507,,Struck by discus,,Hyacinthus,Apollo
39722094,,natural causes,,Leuce,
38886291,,warfare,,Achilles,unknown
38886291,,grief and mourning,,Patroclus (initially),None
38886291,,natural causes/old age,,Pyrrhus,unknown
56246299,,strangulation,,Antigone,Creon
49531849,,,,Priam,
49531849,,,,Hector,
49531849,,,,Deiphobus,
49531849,,,,Paris,
49531849,,,,Antiphus,
49531849,,,,Pammon,
49531849,,,,Hipponous,
49531849,,,,Polydorus,
49531849,,,,Troilus,
49531849,,,,Creusa,
49531849,,,,Polyxena,
49531849,,,,Coroebus,
48848398,,Assassination,,Riliane's mother (the queen),Unknown
48848398,,Suicide by jumping,,Riliane,Riliane herself
47791900,,arrow to neck,,Antinous,Odysseus
47791900,,arrow to chest,,man beside Eurynomus,Odysseus
47791900,,sword,,Eurynomus,Odysseus
47136421,,brain dashed out,,Astyanax,unknown
47136421,,defiled body dragged,,Hector,Achilles
47136421,,unknown,,Polydorus,unknown
47136421,,blood seeping out,,Polyxena,unknown
47136421,,slain with sword,,Agamemnon,Clytemnestra
47136421,,slain with sword,,Cassandra,Clytemnestra
45899866,,,,,
45899866,,sleep into eternal oblivion,,Protagonist (unnamed),
45282052,,overwhelmed by pleasure and pain,,princess,
45282052,,,,father,princess
30281253,,beating,,Dixon Worth,Corrie Worth
30281253,,hanging,,miners,
24847147,,sword,,Myrrha (attempted),Cinyras
24847147,,boar attack,,Adonis,wild pig
37903318,,turned to stone and beheaded,,nymph,Orpheus
37903318,,killed by viper,,viper,narrator
31797934,,torn limb from limb,,Pentheus,Maenads
32232568,,dagger thrusts,,"Calchas, Cassandra",Cassandra
25972498,,war,,Mynes,not specified
25972498,,battle,,Patroclus,not specified
25972498,,war,,Achilles,not specified
24350869,,gruesome death,,Patroclus,
24160720,,war,,Cassandra's brothers,Achaeans
24160720,,killed in war,,Cassandra's son,
24160720,,miscarriage,,Cassandra's unborn child,Ajax the Lesser
24160720,,,,Cassandra's daughter,
24160720,,,,Cassandra,
24160720,,world destruction,,the world,Apollo
17006691,,Slit throat,,Troilus,Achilles
1087311,,beheading,,Medusa,Perseus
734141,,stabbing,,he,I
734141,,throat slit,,he,she
660704,,gunshot,,Kallisto,Artemis
591456,,drowning,,citizens,the sea
591456,,transformation,,Medusa's form,Athena
57811963,,,,,
50519623,,Bloodshed,,Fallen men,Greeks
50519623,,Burning,,Those trapped in houses,None mentioned
50519623,,Rape and violence,,Cassandra,Ajax
50126794,,slain (past event),,Asterion the Minotaur,None mentioned
47882395,,magical force,,Jason,Medea
43712916,,,,,
46030015,,war,,Ajax,
46030015,,war,,Achilles,
46030015,,war,,Agamemnon,
46030015,,,,Odysseus' mother,
46030015,,,,Eurylochus,
46030015,,hanging,,servant,
46030015,,,,suitors,
46030015,,,,Astyanax,
56755555,,,,,
56676244,,,,,
56631334,,unknown,,crops of the Earth,Kore
56631334,,unknown,,livestock of all elements,Kore
56631334,,unknown,,bodies of people (multiple),Kore
56631334,,dying/damage to Gaia/Olympia,,Gaia and Olympia,Kore
54516907,,struck from behind,,soldier,gorgon
54516907,,beheaded,,gorgon,Perball
39728892,,natural causes,,narrator,
51106009,,petrification,,the male protagonist,Athena
52941766,,,,,
52941766,,eaten,,Prometheus' liver,Eagle
48677368,,ripping to pieces and eating raw,,husband,speaker
48677368,,killing,,speaker,son
44140441,,Bone shattered by unnatural wind,,Hyacinthus,Zephyrus
38722188,,devouring,,humans,Beast
38722188,,fire,,parents,inferno
38722188,,burial,,five bodies,worms
38717322,,poisoning,,Hyacinthus,Apollo (indirect)
38717322,,transformation,,Daphne,Apollo
25480942,,hunting,,rabbit,narrator
47019253,,,,,
