work_id;Summary;Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;(Major) Character Death Evidence;words
17464;Alexandros, also known as Paris, lies alone in his extravagant bed, unable to sleep due to his complicated relationships and past mistakes. He reflects on his unrequited love for his brother Hector, who is now dead, murdered by Achilles as revenge for killing Patroclus. Hector's death was a result of Paris' actions, and he feels guilty for causing the war that led to his brother's demise. The story also mentions the funeral games where Paris received his share, implying that others have died in the conflict. In his grief and anger, Paris vows to avenge Hector's death, praying for Phoebus Apollo's help, who had favored Hector.;;;;unspecified;;;;;;Patroclus;;;;;;Hector;;;;;;;;direct speech;second;"""""Because I killed Patroclus, Achilles won't let me live.""""";1122
17464;Alexandros, also known as Paris, lies alone in his extravagant bed, unable to sleep due to his complicated relationships and past mistakes. He reflects on his unrequited love for his brother Hector, who is now dead, murdered by Achilles as revenge for killing Patroclus. Hector's death was a result of Paris' actions, and he feels guilty for causing the war that led to his brother's demise. The story also mentions the funeral games where Paris received his share, implying that others have died in the conflict. In his grief and anger, Paris vows to avenge Hector's death, praying for Phoebus Apollo's help, who had favored Hector.;;;;slaying;;;;;;Hector;;;;;;Achilles;;;;;;;;narrator;second;"""You watch when Achilles strikes your brother down, watch your brother's glorious form fall under the wrath of a goddess's son, and you can almost hear your brother telling you again that he hates you, that you are the reason he won't live to see the sun set this day.""";1122
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;shot;;;;;;Achaeans;;;;;;Trojans;;;;;;;;narrator;second;"""They are ready for your attack, and it goes badly at first when Achaeans are being slaughtered even before they set foot on land.""";5730
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;stabbing;;;;;;Achilles;;;;;;Achilles' opponents;;;;;;;;narrator;second;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";5730
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;unspecified;;;;;;Hector's enemies;;;;;;Hector;;;;;;;;narrator;second;"""He is both more and less fierce at the same time: he is more efficient and methodical at killing his enemies, but his attention is also less concentrated on the task at hand, like something big's happening elsewhere. """;5730
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;unspecified;;;;;;Patroclus;;;;;;---;;;;;;;;narrator;second;"""He chides you for not burying his body, but you cannot help it. You cannot bear to let him go, to watch the flames engulf and consume him, to never touch that lovely face and beautiful skin again. But you still cannot refuse him, so you tell him yes. Even as a ghost, you want him and love him, and you ask him to come closer so you can hold him one moment more. But he disappears before you can reach him, and you are left alone again. You have gotten your everlasting glory at a terrible price, and you do not care about dying here any longer. You will not let it claim you easily, but you will not fight it, either, not when Patroclus is waiting for you on the other side. """;5730
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;unspecified;;;;;;The Amazon Queen;;;;;;Achilles;;;;;;;;narrator;second;"""The Amazon Queen is a good opponent, but you defeat her in the end the same way you have defeated everyone else. Even in death, she looks beautiful, and it reminds you of Patroclus lying before you, hint of blood still on his golden skin reminding you of how he must have died.""";5730
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;;;;;;;a young boy;;;;;;Achilles;;;;;;;;narrator;second;;5730
17701;Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;stabbing;;;;;;Achilles' opponents;;;;;;Achilles;;;;;;;;narrator;second;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";5730
41491;Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;unspecified;;;;;;A twenty-one year old girl;;;;;;---;;;;;;;;narrator;third;"""What can you say about a twenty-one year old girl who died? That she wasn't twenty-one, for starters. She was thirty-two when she died and looked every day of it.""";1574
41491;Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;illness (fever);;;;;;Alexander the Great;;;;;;---;;;;;;;;narrator;third;"""Everyone knows that this was the revenge of the stars on Alexander the Great, who died of a mysterious fever at the age of thirty-two, but at this time the Aegeans were not yet a superstitious lot, because their lives were not yet governed by the cold and impersonal light of distant planets, just very powerful gods, against whose randomness no salt over your shoulder and no straw men could guard you.""";1574
41491;Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;chopping to pieces;;;;;;Pelops;;;;;;Tantalus;;;;;;;;narrator;third;"""Over in the corner an old woman was telling a gathering the story of Tantalus and how he cut up and served his own son Pelops as food for the gods.""";1574
41491;Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;sacrifice;;;;;;Iphigeneia;;;;;;Agamemnon;;;;;;;;narrator;third;"""Agamemnon had murdered his own daughter to ensure good winds for the journey. Iphigeneia had been young, intelligent and gorgeous, very enthusiastic about being married to Achilles himself. That hadn't worked out. She had fought frantically before they killed her.""";1574
