work_id;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;summary_P;Classification;Reason;Victim_TP_auto;Victim_FP_auto;Victim_FN_auto;Victim_TN_auto;Victim_res;Perpetrator_TP_auto;Perpetrator_FP_auto;Perpetrator_FN_auto;Perpetrator_TN_auto;Perpetrator_res;Mode of Demise_TP_auto;Mode of Demise_FP_auto;Mode of Demise_FN_auto;Mode of Demise_TN_auto;Mode of Demise_res
17464;"""""Because I killed Patroclus, Achilles won't let me live.""""";direct speech;second;Patroclus;Patroclus;;;;;Hector;Hector;;;;;unspecified;killed;;;;;;;;1;0;0;0;rule;1;0;0;0;rule;0;1;0;0;rule
17464;"""You watch when Achilles strikes your brother down, watch your brother's glorious form fall under the wrath of a goddess's son, and you can almost hear your brother telling you again that he hates you, that you are the reason he won't live to see the sun set this day.""";narrator;second;Hector;Hector;;;;;Achilles;Achilles;;;;;slaying;struck down;;;;;;;;1;0;0;0;rule;1;0;0;0;rule;1;0;0;0;semantic
17701;"""They are ready for your attack, and it goes badly at first when Achaeans are being slaughtered even before they set foot on land.""";narrator;second;Achaeans;;;;;;Trojans;;;;;;shot;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;1;0;rule
17701;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles;;;;;;Achilles' opponents;;;;;;stabbing;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;1;0;rule
17701;"""He is both more and less fierce at the same time: he is more efficient and methodical at killing his enemies, but his attention is also less concentrated on the task at hand, like something big's happening elsewhere. """;narrator;second;Hector's enemies;;;;;;Hector;;;;;;unspecified;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;0;1;rule
17701;"""He chides you for not burying his body, but you cannot help it. You cannot bear to let him go, to watch the flames engulf and consume him, to never touch that lovely face and beautiful skin again. But you still cannot refuse him, so you tell him yes. Even as a ghost, you want him and love him, and you ask him to come closer so you can hold him one moment more. But he disappears before you can reach him, and you are left alone again. You have gotten your everlasting glory at a terrible price, and you do not care about dying here any longer. You will not let it claim you easily, but you will not fight it, either, not when Patroclus is waiting for you on the other side. """;narrator;second;Patroclus;;;;;;---;;;;;;unspecified;;;;;;;;;0;0;1;0;rule;0;0;0;1;rule;0;0;0;1;rule
17701;"""The Amazon Queen is a good opponent, but you defeat her in the end the same way you have defeated everyone else. Even in death, she looks beautiful, and it reminds you of Patroclus lying before you, hint of blood still on his golden skin reminding you of how he must have died.""";narrator;second;The Amazon Queen;;;;;;Achilles;;;;;;unspecified;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;0;1;rule
17701;;narrator;second;a young boy;;;;;;Achilles;;;;;;;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;0;1;rule
17701;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles' opponents;;;;;;Achilles;;;;;;stabbing;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;1;0;rule
41491;"""What can you say about a twenty-one year old girl who died? That she wasn't twenty-one, for starters. She was thirty-two when she died and looked every day of it.""";narrator;third;A twenty-one year old girl;;;;;;---;;;;;;unspecified;;;;;;;;;0;0;1;0;rule;0;0;0;1;rule;0;0;0;1;rule
41491;"""Everyone knows that this was the revenge of the stars on Alexander the Great, who died of a mysterious fever at the age of thirty-two, but at this time the Aegeans were not yet a superstitious lot, because their lives were not yet governed by the cold and impersonal light of distant planets, just very powerful gods, against whose randomness no salt over your shoulder and no straw men could guard you.""";narrator;third;Alexander the Great;;;;;;---;;;;;;illness (fever);;;;;;;;;0;0;1;0;rule;0;0;0;1;rule;0;0;1;0;rule
41491;"""Over in the corner an old woman was telling a gathering the story of Tantalus and how he cut up and served his own son Pelops as food for the gods.""";narrator;third;Pelops;;;;;;Tantalus;;;;;;chopping to pieces;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;1;0;rule
41491;"""Agamemnon had murdered his own daughter to ensure good winds for the journey. Iphigeneia had been young, intelligent and gorgeous, very enthusiastic about being married to Achilles himself. That hadn't worked out. She had fought frantically before they killed her.""";narrator;third;Iphigeneia;;;;;;Agamemnon;;;;;;sacrifice;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;1;0;rule
41491;"""He did not even hate for dying when she finally did, sword knocked out of her hand, his blade sliced clean through her heart.""";narrator;third;Penthesilea;;;;;;Achilles;;;;;;stabbing;;;;;;;;;0;0;1;0;rule;0;0;1;0;rule;0;0;1;0;rule
41491;"""What can you say about a twenty-one year old boy who died? Pluto never had the chance to summon him. He was actually twenty-eight when it happened, the arrow flying into his heel almost an accident, if anything the stars have orchestrated for eternities can be an accident. What can you say about Achilles dying?""";narrator;third;Achilles;Achilles;;;;;unspecified;fate/stars;;;;;being shot;arrow to heel;;;;;;;;1;0;0;0;rule;0;1;0;0;rule;0;1;1;0;semantic
