work_id;Entity;manual_label;auto_label;Gold_Value;Predicted_Value
1087311;Mode of Demise;FP;TP;slashing;beheaded
125672;Mode of Demise;FP;TP;slaying;beaten to death
24160720;Mode of Demise;FP;TP;war;death
37903318;Mode of Demise;FP;TP;snake bite/suicide;underworld passage
38886291;Mode of Demise;FP;TP;stabbing;died
38886291;Mode of Demise;FP;TP;being shot;died
38886291;Mode of Demise;FP;TP;stabbing;killing
47136421;Mode of Demise;FP;TP;sacrifice;killed in the same manner as his grandson
47791900;Mode of Demise;FP;TP;slaying;beheaded by sword
48848398;Mode of Demise;FP;TP;suicide;jumping
49859260;Mode of Demise;FP;TP;slashing throat;sacrifice
56246299;Mode of Demise;FP;TP;being choked;killed by uncle
