work_id;Entity;manual_label;auto_label;Gold_Value;Predicted_Value
109012;Mode of Demise;TP;FP;unspecified;killed
17464;Mode of Demise;TP;FP;unspecified;killed
17701;Mode of Demise;TP;FP;unspecified;combat
24847147;Perpetrator;TP;FP;wild pig;[output in MoD]
30281253;Mode of Demise;TP;FP;slaying;pickaxe
38886291;Mode of Demise;TP;FP;unspecified;killing
38886291;Mode of Demise;TP;FP;unspecified;killed
40214382;Mode of Demise;TP;FP;unspecified;killed by Paris' actions
40607286;Perpetrator;TP;FP;---;Ajax
45282052;Perpetrator;TP;FP;Medea;Princess, witch
45282052;Perpetrator;TP;FP;Medea;Princess, witch
46030015;Mode of Demise;TP;FP;unspecified;killed
47136421;Perpetrator;TP;FP;Agamemnon's wife;Clytemnestra
48848398;Perpetrator;TP;FP;---;herself
48848398;Perpetrator;TP;FP;---;not specified
48848398;Mode of Demise;TP;FP;unspecified;not specified
56347633;Mode of Demise;TP;FP;unspecified;killed
56631334;Perpetrator;TP;FP;Persephone;Kore
78338;Perpetrator;TP;FP;---;herself
