work_id;Entity;manual_label;auto_label;Gold_Value;Predicted_Value
78338;Mode of Demise;TP;FP;software malfunction;diskette
109012;Mode of Demise;TP;FP;unspecified;killed
1087311;Mode of Demise;TP;FP;petrification;turned to stone
38717322;Mode of Demise;TP;FP;discus;Striking and wind gusts
38717322;Mode of Demise;TP;FP;discus;Striking and wind gusts
39722094;Mode of Demise;TP;FP;old age;natural causes
40140507;Mode of Demise;TP;FP;discus;blunt force trauma
40607286;Perpetrator;TP;FP;---;Ajax
45282052;Mode of Demise;TP;FP;manipulation/intercourse;exhaustion/cardiac arrest
45282052;Mode of Demise;TP;FP;manipulation/intercourse;exhaustion/cardiac arrest
47136421;Perpetrator;TP;FP;Agamemnon's wife;Clytemnestra
47136421;Perpetrator;TP;FP;Agamemnon's wife;Clytemnestra
48848398;Perpetrator;TP;FP;---;Riliane
56246299;Perpetrator;TP;FP;Ismene's uncle;king
57165361;Victim;TP;FP;unnamed;Odysseus' men
57165361;Victim;TP;FP;unnamed;Odysseus' men
57356344;Mode of Demise;TP;FP;discus;blunt force trauma
