work_id;Entity;manual_label;auto_label;Gold_Value;Predicted_Value
17464.0;Mode of Demise;TP;FP;unspecified;killed
78338.0;Perpetrator;TP;FP;---;Althea
109012.0;Mode of Demise;TP;FP;unspecified;killed in battle
39722094.0;Mode of Demise;TP;FP;old age;natural causes
40214382.0;Mode of Demise;TP;FP;unspecified;killed by own father
45282052.0;Perpetrator;TP;FP;Medea;witch
50519623.0;Victim;TP;FP;unspecified;Fallen men
50519623.0;Perpetrator;TP;FP;unspecified;Greeks
50519623.0;Victim;TP;FP;unspecified;Troy's inhabitants
50519623.0;Perpetrator;TP;FP;unspecified;Greeks
