work_id;Entity;manual_label;auto_label;Gold_Value;Predicted_Value
78338;Mode of Demise;TP;FP;;tearing to pieces
78338;Mode of Demise;TP;FP;software malfunction;download completion
37903318;Mode of Demise;TP;FP;petrification;turned to stone and beheaded
39722094;Mode of Demise;TP;FP;old age;natural causes
44140441;Mode of Demise;TP;FP;discus;Bone shattered by unnatural wind
47136421;Mode of Demise;TP;FP;slaying;brain dashed out
47136421;Perpetrator;TP;FP;Agamemnon's wife;Clytemnestra
47136421;Perpetrator;TP;FP;Agamemnon's wife;Clytemnestra
50519623;Perpetrator;TP;FP;unspecified;Greeks
56246299;Perpetrator;TP;FP;Ismene's uncle;Creon
