Entity;Cosine;Fuzzy;Human_TP
Victim;1.0;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;1.0;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;0.459184467792511;0.10526315789473684;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;0.8143939971923828;0.8888888888888888;1
Victim;0.6375295519828796;0.33333333333333337;1
Victim;1.0;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;0.9646424055099487;0.9655172413793103;1
Victim;1.000000238418579;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;1.0;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;1.0;1.0;1
Victim;0.8403400182723999;0.8333333333333335;1
Victim;0.9999999403953552;1.0;1
Victim;0.2940594553947449;0.4324324324324324;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;0.0979253500699997;0.07999999999999996;1
Victim;0.9999999403953552;1.0;1
Victim;0.2915714979171753;0.2142857142857143;1
Victim;1.0;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;0.4756093919277191;0.6206896551724138;1
Victim;1.0000001192092896;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;0.4505792260169983;0.5714285714285714;1
Victim;1.0;1.0;1
Victim;0.9999999403953552;1.0;1
Victim;1.0;1.0;1
Victim;0.5038392543792725;0.5714285714285714;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;0.2052319347858429;0.18181818181818177;1
Victim;1.0000001192092896;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;1.0;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;1.0;1.0;1
Victim;1.0;1.0;1
Victim;0.2914448380470276;0.17391304347826086;1
Victim;0.13302552700042725;0.2857142857142857;1
Victim;1.0000001192092896;1.0;1
Victim;1.0;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;1.0000001192092896;1.0;1
Victim;0.9999999403953552;1.0;1
Perpetrator;1.0;1.0;1
Perpetrator;1.0;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;1.0;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;1.0;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;0.3656788468360901;0.2857142857142857;1
Perpetrator;1.0;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;1.0;1.0;1
Perpetrator;1.0000001192092896;1.0;1
Perpetrator;0.9300441145896912;0.923076923076923;1
Perpetrator;0.9999999403953552;1.0;1
Perpetrator;0.9999999403953552;1.0;1
