Entity;Threshold;Accuracy
Victim;0.2;0.9090909090909091
Victim;0.25;0.9090909090909091
Victim;0.3;0.9090909090909091
Victim;0.35;0.9090909090909091
Victim;0.4;0.9090909090909091
Victim;0.45;0.9090909090909091
Victim;0.5;0.7272727272727273
Victim;0.55;0.7272727272727273
Victim;0.6;0.5454545454545454
Victim;0.65;0.45454545454545453
Victim;0.7;0.45454545454545453
Victim;0.75;0.45454545454545453
Victim;0.8;0.2727272727272727
Victim;0.85;0.18181818181818182
Victim;0.9;0.18181818181818182
Victim;0.95;0.0
Victim;1.0;0.0
Perpetrator;0.2;0.5
Perpetrator;0.25;0.5833333333333334
Perpetrator;0.3;0.5
Perpetrator;0.35;0.5
Perpetrator;0.4;0.5833333333333334
Perpetrator;0.45;0.6666666666666666
Perpetrator;0.5;0.75
Perpetrator;0.55;0.75
Perpetrator;0.6;0.75
Perpetrator;0.65;0.75
Perpetrator;0.7;0.75
Perpetrator;0.75;0.75
Perpetrator;0.8;0.5833333333333334
Perpetrator;0.85;0.5833333333333334
Perpetrator;0.9;0.5833333333333334
Perpetrator;0.95;0.5
Perpetrator;1.0;0.5
Mode of Demise;0.2;0.725
Mode of Demise;0.25;0.65
Mode of Demise;0.3;0.625
Mode of Demise;0.35;0.675
Mode of Demise;0.4;0.525
Mode of Demise;0.45;0.5
Mode of Demise;0.5;0.5
Mode of Demise;0.55;0.5
Mode of Demise;0.6;0.425
Mode of Demise;0.65;0.4
Mode of Demise;0.7;0.325
Mode of Demise;0.75;0.3
Mode of Demise;0.8;0.225
Mode of Demise;0.85;0.225
Mode of Demise;0.9;0.225
Mode of Demise;0.95;0.2
Mode of Demise;1.0;0.2
