work_id;title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits;all_kudos;all_bookmarks
56580688;My Child;['near11'];General Audiences;Other;Ancient Greek Religion & Lore;;Gaea, Iris (Ancient Greek Religion & Lore);;English;11/06/24;Completed;11/06/24;1974;1/1;;1;1;9;['DaughterOfTama'];[]
56757454;When the Myth is Over;['riverdellbrook'];Not Rated;F/M;Ancient Greek Religion & Lore;Eurydice wife of Orpheus/Orpheus (Ancient Greek Religion & Lore);Orpheus (Ancient Greek Religion & Lore), Eurydice wife of Orpheus (Ancient Greek Religion & Lore), Calliope (Ancient Greek Religion & Lore), Maenads (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore);;English;19/06/24;Completed;19/06/24;400;1/1;1;7;4;42;['ImBoredSoFandom', 'DaughterOfTama', 'WildWarning33'];[]
57356344;That Purple with the Red on the Edge;['aNediX'];Teen And Up Audiences;M/M;Ancient Greek Religion & Lore, Circe - Madeline Miller;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Hyacinthus (Ancient Greek Religion & Lore), Zephyrus (Ancient Greek Religion & Lore);Bad Ending, I'm Bad At Tagging, I'm Bad At Summaries, Bad Writing, Inaccurate Ancient Greek Religion & Lore, POV First Person, Jealousy, Apollo Needs a Hug (Ancient Greek Religion & Lore), Love at First Sight, Falling In Love, Human, Humanity, Feelings, Sad Ending, Flashbacks, Homework, References to Ancient Greek Religion & Lore, numb, Emotional Hurt/Comfort, Childhood Memories;English;13/07/24;Completed;13/07/24;4072;1/1;;12;1;126;['Ratsinhumancostume', 'kyradea', 'Apollos_other_twin', 'YRINYES', 'I_am_Chironides', 'Starchasser74'];[]
57183703;The Tragedy of Orpheus;['FrenchFrythe3rd'];Teen And Up Audiences;F/M;Orpheus and Eurydice - Fandom;Eurydice/Orpheus;Eurydice and Orpheus - Character, Hades, Apollo;They aren't actually in love in this one, Greek Mythology - Freeform, Eurydice - Freeform, Orpheus - Freeform, Daddy Issues, greek myths and powers, Greek gods, i know this is a fanfic account but this is really cool, Enemies, enemies that sorta stay enemies, Guilt, long work, Lots of words;English;07/07/24;Completed;07/07/24;5430;1/1;;1;1;11;['DaughterOfTama'];[]
57165361;mutiny;['paintblob'];General Audiences;Gen;EPIC - Jorge Rivera-Herrans (Albums), Ancient Greek Religion & Lore;Odysseus/Penelope (EPIC: The Musical), Eurylochus & Odysseus (EPIC: The Musical);Odysseus (EPIC: The Musical), Eurylochus (EPIC: The Musical), Zeus (EPIC: The Musical), Scylla daughter of Crataeis (Ancient Greek Religion & Lore), Original Characters, Odysseus' Crew (EPIC: The Musical);Odysseus Needs A Hug (EPIC: The Musical), Odysseus Being an Idiot, Angst, Canon Compliant, Original Character(s), Character Death, Canonical Character Death, References to Ancient Greek Religion & Lore, Ancient Greece;English;06/07/24;Completed;06/07/24;5134;1/1;4;66;8;698;['Jotaro_needs_therapy', 'jseify', 'Depressed_Hooker', 'Beawake', 'Ilikeminecraftgaming', 'Soomanyfandomswhy', 'Gomkuro', 'Youcancallme_Aru', 'TimesBeingWhatTheyAre', 'Anika_jellyfish', 'soaringcomet', 'ThatPyro', 'hauntedbyghostz', 'sablin27', 'FerIsAlive', 'fantasyfailure', 'AzhaZh', 'TumblingBackpacks', 'kramirez12345', 'SpellFire451', 'SouleaterXD', '13IDontReallyCare11', 'Fangthewolf27', 'musimsemi', 'Thorns_and_Roses_78', 'Ferbulant', 'vkook_2048', 'whoareyoutometoyou', 'AsiaUni', 'Blueisbest0620', 'BasiliskQueen21', 'Coruscant_Senate_Building', 'EvermoreCatra', 'AlmondRain', 'Gracefanfics', 'N0rah_63', 'jello_Hermione', 'Mangekyou01', 'fandomsofrandom', 'attack_choppa01', 'Slytherins_Princess', 'Phoenix2137', 'Apologus', 'Acpola01', 'we_are_made_of_star_stuff', 'CATastrophic29', 'Helloz45', 'liwiaggd', 'BlanketMaiden', 'Marmarmuu'];[]
57137989;Twice-born;['firecat'];Mature;F/M;Ancient Greek Religion & Lore;Semele/Zeus (Ancient Greek Religion & Lore);Dionysus (Ancient Greek Religion & Lore), Hera (Ancient Greek Religion & Lore), Semele (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore);Pregnancy, Thunder and Lightning, Mortality, Immortality, Oaths & Vows, Pain, Cutting, Character Death, Natural Disasters, Alternative Uteri;English;05/07/24;Completed;05/07/24;805;1/1;2;6;2;74;['loachpearl', 'Patty789678967896', 'Laci_Reacher', 'DaughterOfTama', 'Patronia', 'PattRose'];[]
57121198;A lonely soul trapped between wisdom and the sea;['LunerEclipse'];Not Rated;F/F;Ancient Greek Religion & Lore;Athena/Medusa (Ancient Greek Religion & Lore), Athena & Medusa (Ancient Greek Religion & Lore);Zeus (Ancient Greek Religion & Lore), Perseus (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore), Medusa (Ancient Greek Religion & Lore), Athena (Ancient Greek Religion & Lore), Poseidon (Ancient Greek Religion & Lore);Implied/Referenced Rape/Non-con, How Do I Tag, I Wrote This Instead of Sleeping, Gay;English;04/07/24;Completed;04/07/24;1154;1/1;;17;4;297;['Lenalia12', 'Dogsandcats', 'Coolkrobird', 'M_LeFae', 'Strangefae', 'WolfRoseTheRonin', 'KomiLove', 'Lonelywxh47', 'Elea79954t1', 'ScGonzaga', 'howtobesleepdeprived', 'TheLazyOneWhoFailsInLife', 'Exteria01', 'Yui_samidare', '1_random_reader_1'];[]
56575177;Aulis Through Her Eyes;['LopazoCDA'];Teen And Up Audiences;Other;The Iliad - Homer, Iphigenia in Aulis - Euripides, Ancient Greek Religion & Lore, The Oresteia - Aeschylus;Clytemnestra & Iphigenia (Ancient Greek Religion & Lore), Agamemnon & Iphigenia (Ancient Greek Religion & Lore);Clytemnestra (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Agamemnon (Ancient Greek Religion & Lore), Iphigenia (Ancient Greek Religion & Lore), Orestes (Ancient Greek Religion & Lore), Achilles (Ancient Greek Religion & Lore), Cassandra (Ancient Greek Religion & Lore), basically major characters in iphigenia at aulis;greeks being the greeks, a rewrite of the greek myth, Murder, Sacrifice, Human Sacrifice, Family Drama, Grief/Mourning, Revenge, Betaed, english is not my first language so please don't judge me too harshly, Trojan War;English;11/06/24;Completed;11/06/24;6448;1/1;11;9;1;75;['Inthenameoftheholywater', 'AthenaAreia', 'scarlet_sam', 'Elizabethdinosaur66', 'evostevo1224', 'dsrted_duo'];[]
56574667;Dear Semele;['BlueDrink'];Teen And Up Audiences;F/M;Ancient Greek Religion & Lore;Hera/Zeus (Ancient Greek Religion & Lore), Semele/Zeus (Ancient Greek Religion & Lore), Hades & Poseidon & Zeus (Ancient Greek Religion & Lore), Ares & Zeus (Ancient Greek Religion & Lore);Hera (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), Semele (Ancient Greek Religion & Lore), Ares (Ancient Greek Religion & Lore), (mentioned) Dionysus (Ancient Greek Religion & Lore), (mentioned) Amphitrite (Ancient Greek Religion & Lore), (mentioned) Hades (Ancient Greek Religion & Lore), (mentioned) Poseidon (Ancient Greek Religion & Lore), (mentioned) Apollo (Ancient Greek Religion & Lore);based on the zeus/semele myth, i have not read it tho but i have a idea of it, Cheating, Canonical Character Death, Implied Mpreg, hera has regrets, Post-Traumatic Stress Disorder - PTSD, i think, i'll take that tag out if someone thinks it is not accurate, semele is a major character for me ok?, Angst, Zeus is an asshole. but no THE asshole. not here, Hera is THE asshole. but she has regrets, 3d characters people!, ft. Ares the bodyguard;English;11/06/24;Completed;11/06/24;1637;1/1;1;19;3;269;['Rox_Tyler', 'Lightningvolt', 'Just_Fiction', 'peTer_jOhnSon83', 'Nugget1234', 'Lovely_Nightmares', 'Dreamsofclouds', 'Wolffoxnation', 'Bloodypommegranate', 'gargi_2000'];[]
56417806;Pasiphae and the Minotaur;['Willendorfer'];Explicit;F/M, Other;Ancient Greek Religion & Lore, The King Must Die Series - Mary Renault;Asterion the Minotaur & Pasiphae (Ancient Greek Religion & Lore), Cretan Bull/Pasiphae (Ancient Greek Religion & Lore);Pasiphae (Ancient Greek Religion & Lore), Asterion the Minotaur (Ancient Greek Religion & Lore), Cretan Bull (Ancient Greek Religion & Lore), Minos (Ancient Greek Religion & Lore);Bestiality, minotaur sex, enormous phallus, Vaginal Sex, Anal Sex, Fellatio, Cunnilingus, Childbirth, Minoan, BBW, Incest, Mother-Son Relationship, mother-son incest, Breastfeeding;English;04/06/24;Completed;04/06/24;6256;1/1;3;33;9;2232;['Tech_Jammer', 'Kiisu_kitteh', 'merisini', 'Angelica_Schuyler98', 'Jergal', 'TheAceol', 'sightetsound', 'CMatteo999', 'Bitterroot', 'LittleDivaStar', 'Astral_Trinity', 'StormTigerXXL', 'Jae_Cillian', 'Mthaytr', 'Shentarii', 'Kittyficlover', 'ThinkR6', 'Sapper', 'IlllllI'];[]
